Date,Gold,SP500,BCA,Telkom,Bitcoin
2023-03-17,7660.27978515625,183.77000427246094,375.2897033691406,3395.231201171875,27423.9296875
2023-03-20,7683.14599609375,183.83999633789062,378.8984069824219,3344.931640625,27767.236328125
2023-03-21,7774.6123046875,180.3699951171875,383.8734436035156,3453.914306640625,28175.81640625
2023-03-22,7774.6123046875,183.44000244140625,377.3298034667969,3453.914306640625,27307.4375
2023-03-23,7774.6123046875,185.74000549316406,378.3498229980469,3453.914306640625,28333.97265625
2023-03-24,8071.8779296875,183.64999389648438,380.8326110839844,3411.997802734375,27493.28515625
2023-03-27,7957.54443359375,181.9499969482422,381.54461669921875,3395.231201171875,27139.888671875
2023-03-28,7934.6767578125,183.44000244140625,380.6882629394531,3395.231201171875,27268.130859375
2023-03-29,8209.896484375,182.52999877929688,386.2215270996094,3437.147705078125,28348.44140625
2023-03-30,8233.2197265625,184.17999267578125,388.4829406738281,3428.7646484375,28033.5625
2023-03-31,8163.248046875,183.22000122070312,393.9584655761719,3403.614501953125,28478.484375
2023-04-03,8209.896484375,184.5399932861328,395.4596252441406,3420.381103515625,27790.220703125
2023-04-04,8186.57177734375,187.97999572753906,393.2655944824219,3403.614501953125,28168.08984375
2023-04-05,8139.923828125,187.8300018310547,392.23590087890625,3479.064208984375,28177.984375
2023-04-06,8163.248046875,186.49000549316406,393.7659606933594,3562.897216796875,28044.140625
2023-04-10,8209.896484375,185.11000061035156,394.170166015625,3604.8134765625,29652.98046875
2023-04-11,8233.2197265625,186.27999877929688,394.2759704589844,3604.8134765625,30235.05859375
2023-04-12,8303.189453125,187.19000244140625,392.6689453125,3613.19677734375,30139.052734375
2023-04-13,8326.5126953125,189.72000122070312,397.8846130371094,3638.3466796875,30399.06640625
2023-04-14,8396.4833984375,186.36000061035156,396.9126281738281,3638.3466796875,30485.69921875
2023-04-17,8419.80859375,185.52999877929688,398.3369445800781,3579.663818359375,29445.044921875
2023-04-18,8513.1015625,186.25,398.5967102050781,3579.663818359375,30397.552734375
2023-04-19,8513.1015625,185.36000061035156,398.5294189453125,3579.663818359375,28822.6796875
2023-04-20,8513.1015625,186.08999633789062,396.3545837402344,3579.663818359375,28245.98828125
2023-04-21,8513.1015625,184.25,396.6625061035156,3579.663818359375,27276.91015625
2023-04-24,8513.1015625,184.80999755859375,397.0762634277344,3579.663818359375,27525.33984375
2023-04-25,8513.1015625,185.75,390.7732238769531,3579.663818359375,28307.59765625
2023-04-26,8583.072265625,184.74000549316406,389.11798095703125,3688.64599609375,28422.701171875
2023-04-27,8536.42578125,184.75,396.8646545410156,3621.580078125,29473.787109375
2023-04-28,8443.130859375,184.8000030517578,400.25189208984375,3562.897216796875,29340.26171875
2023-05-01,8443.130859375,183.97000122070312,399.84771728515625,3562.897216796875,28091.568359375
2023-05-02,8443.130859375,187.52000427246094,395.3537902832031,3512.59716796875,28680.537109375
2023-05-03,8326.5126953125,189.11000061035156,392.64007568359375,3479.064208984375,29006.30859375
2023-05-04,8396.4833984375,190.44000244140625,389.8590087890625,3479.064208984375,28847.7109375
2023-05-05,8396.4833984375,187.4600067138672,397.0762634277344,3495.830810546875,29534.384765625
2023-05-08,8396.4833984375,187.69000244140625,397.1821594238281,3403.614501953125,27694.2734375
2023-05-09,8326.5126953125,189.02000427246094,395.44036865234375,3411.997802734375,27658.775390625
2023-05-10,8326.5126953125,188.75,397.28802490234375,3462.297607421875,27621.755859375
2023-05-11,8233.2197265625,187.1300048828125,396.5951232910156,3428.7646484375,27000.7890625
2023-05-12,8209.896484375,186.80999755859375,396.07550048828125,3336.54833984375,26804.990234375
2023-05-15,8186.57177734375,187.2100067138672,397.4419860839844,3336.54833984375,27192.693359375
2023-05-16,8116.60107421875,184.8699951171875,394.7860412597656,3336.54833984375,27036.650390625
2023-05-17,8186.57177734375,184.22999572753906,399.57830810546875,3344.931640625,27398.802734375
2023-05-18,8186.57177734375,181.83999633789062,403.42755126953125,3344.931640625,26832.208984375
2023-05-19,8396.4833984375,183.63999938964844,402.8405456542969,3370.081298828125,26890.12890625
2023-05-22,8396.4833984375,183.2100067138672,403.0041198730469,3386.847900390625,26851.27734375
2023-05-23,8513.1015625,183.42999267578125,398.48126220703125,3386.847900390625,27225.7265625
2023-05-24,8419.80859375,181.9499969482422,395.5943603515625,3487.447509765625,26334.818359375
2023-05-25,8443.130859375,180.1999969482422,399.0201721191406,3453.914306640625,26476.20703125
2023-05-26,8536.42578125,180.9199981689453,404.1877136230469,3462.297607421875,26719.291015625
2023-05-30,8629.720703125,182.0399932861328,404.3416748046875,3453.914306640625,27702.349609375
2023-05-31,8443.130859375,182.32000732421875,402.0995178222656,3386.847900390625,27219.658203125
2023-06-01,8443.130859375,183.75999450683594,405.9199523925781,3386.847900390625,26819.97265625
2023-06-02,8443.130859375,181.0500030517578,411.78997802734375,3386.847900390625,27249.58984375
2023-06-05,8583.072265625,182.13999938964844,411.0008544921875,3420.381103515625,25760.09765625
2023-06-06,8536.42578125,182.33999633789062,411.8958435058594,3428.7646484375,27238.783203125
2023-06-07,8489.77734375,180.14999389648438,410.47161865234375,3479.064208984375,26345.998046875
2023-06-08,8513.1015625,182.52999877929688,412.954345703125,3495.830810546875,26508.216796875
2023-06-09,8489.77734375,182.0399932861328,413.6953430175781,3479.064208984375,26480.375
2023-06-12,8536.42578125,181.8800048828125,417.4483337402344,3538.119140625,25902.5
2023-06-13,8536.42578125,180.5399932861328,420.20050048828125,3520.64697265625,25918.728515625
2023-06-14,8466.455078125,180.63999938964844,420.7009582519531,3494.438720703125,25124.67578125
2023-06-15,8443.130859375,181.91000366210938,425.9165954589844,3511.910888671875,25576.39453125
2023-06-16,8443.130859375,181.6300048828125,424.4659118652344,3468.230224609375,26327.462890625
2023-06-20,8443.130859375,179.75,422.2635803222656,3485.702392578125,28327.48828125
2023-06-21,8513.1015625,179.49000549316406,420.10009765625,3476.966552734375,30027.296875
2023-06-22,8443.130859375,177.7100067138672,421.6164855957031,3442.02197265625,29912.28125
2023-06-23,8443.130859375,178.1999969482422,418.4290771484375,3450.75830078125,30695.46875
2023-06-26,8466.455078125,178.50999450683594,416.7195129394531,3485.702392578125,30271.130859375
2023-06-27,8536.42578125,177.69000244140625,421.2881164550781,3494.438720703125,30688.1640625
2023-06-28,8536.42578125,177.27999877929688,421.50067138671875,3494.438720703125,30086.24609375
2023-06-29,8536.42578125,177.08999633789062,423.1619567871094,3494.438720703125,30445.3515625
2023-06-30,8536.42578125,178.27000427246094,428.155517578125,3494.438720703125,30477.251953125
2023-07-03,8466.455078125,178.47000122070312,428.6481018066406,3494.438720703125,31156.439453125
2023-07-05,8443.130859375,177.83999633789062,428.0106201171875,3476.966552734375,30514.166015625
2023-07-06,8466.455078125,177.30999755859375,424.6590576171875,3459.494140625,29909.337890625
2023-07-07,8419.80859375,178.63999938964844,423.5868835449219,3459.494140625,30342.265625
2023-07-10,8443.130859375,178.77999877929688,424.6590576171875,3450.75830078125,30414.470703125
2023-07-11,8419.80859375,179.4499969482422,427.36346435546875,3476.966552734375,30620.951171875
2023-07-12,8559.7490234375,181.8800048828125,430.8020324707031,3476.966552734375,30391.646484375
2023-07-13,8513.1015625,182.00999450683594,434.2212829589844,3424.5498046875,31476.048828125
2023-07-14,8583.072265625,181.42999267578125,433.9508056640625,3433.285888671875,30334.068359375
2023-07-17,8559.7490234375,181.55999755859375,435.4575500488281,3415.813720703125,30145.888671875
